Lake_ID;Ergasilus.spp.;harpacticoid;Daphnia.ambigua;Daphnia.catawba;Daphnia.dentifera;Daphnia.dubia;Daphnia.galeata.mendotae;Daphnia.longiremis;Daphnia.magna;Daphnia.middendorffiana;Daphnia.parvula;Daphnia.pulicaria;Daphnia.retrocurva;Daphnia.similis;Daphnia.thorata;Daphnia.spp.;Acanthocyclops.robustus;Acanthocyclops.sp.;Cyclops.columbianus;Cyclops.scutifer;Diacyclops.navus;Diacyclops.thomasi;Eucyclops.elegans;Eucyclops.pectinifer;Eucyclops.spp.;Macrocyclops.albidus;Mesocyclops.americanus;Mesocyclops.edax;Microcyclops.spp.;Orthocyclops.modestus;Tropocyclops.prasinus;cyclopoid.copepodid;Acanthodiaptomus.denticornis;Aglaodiaptomus.clavipes;Aglaodiaptomus.forbesi;Aglaodiaptomus.leptopus;Aglaodiaptomus.spatulocrenatus;Epischura.lacustris;Epischura.nevadensis;Epischura.nordenskioldi;Epischura.spp.;Hesperodiaptomus.arcticus;Hesperodiaptomus.eiseni;Hesperodiaptomus.franciscanus;Hesperodiaptomus.kenai;Hesperodiaptomus.nevadensis;Hesperodiaptomus.spp.;Heterocope.septentrionalis;Leptodiaptomus.ashlandi;Leptodiaptomus.minutus;Leptodiaptomus.nudus;Leptodiaptomus.pribilofensis;Leptodiaptomus.sicilis;Leptodiaptomus.siciloides;Leptodiaptomus.tyrelli;Limnocalanus.macrurus;Onychodiaptomus.hesperus;Onychodiaptomus.singuienus;Senecella.calanoides;Skistodiaptomus.oregonensis;Skistodiaptomus.pallidus;Skistodiaptomus.pygmaeus;Skistodiaptomus.reighardi;Skistodiaptomus.spp.;calanoid.copepodid;Acroperus.harpae;Alona.affinis;Alona.costata;Alona.guttata;Alona.intermedia;Alona.quadrangularis;Alona.spp.;Alonella.acutirostris;Alonella.nana;Bosmina.longirostris;Camptocercus.spp.;Ceriodaphnia.lacustris;Ceriodaphnia.quadrangula;Ceriodaphnia.spp.;Chydorus.sphaericus;Diaphanosoma.birgei;Diaphanosoma.brachyurum;Diaphanosoma.spp.;Dunhevedia.crassa;Eubosmina.coregoni;Eubosmina.longispina;Eubosmina.spp.;Eubosmina.tubicen;Eurycercus.spp.;Graptoleberis.testudinaria;Holopedium.glacialis;Ilyocryptus.spp.;Latona.spp.;Macrothrix.sp.;Moina.spp.;Picripleuroxus.denticulatus;Pleuroxus.procurvus;Polyphemus.pediculus;Scapholeberis.spp.;Sida.crystallina;Simocephalus.spp.;Leptodora Kindtii;ostracod;Bythotrephes
04-572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.40662325536275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2600999995958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.16241782908449;0;0;0;0;0;0;0;4.31755193659954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.94520232335357;0;0;0;0.146523255766953;0.117218604613562;0;0.117218604613562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-573;0;0;0;0;0;0;0.620294737941797;2.41588476882595;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7544155191214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.69764875647229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.14971303206598;0;0;0;0.0979412744118627;0;0;0.0979412744118627;0;0;0;0;0;0;0;0;0.0979412744118627;0;0;0;0;0;0;0;0;0;0.0326470914706209;0.037544155191214;0;0
04-574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.40336134453782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.6862745098039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.350140056022409;0;0;0;0;0;0;0
04-575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.089126559714795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.4795008912656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.55614973262032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.089126559714795;0;0;0;0.089126559714795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-576;0;0;0;0;0;0;0.168777870556256;1.84767353030007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.390854016025015;0;0;0;0;0;0;0;0;0;0;0;0;0;0.701760619681276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.479684474212518;0;0;0;0;0;0.053298274912502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0177660916375007;0;0;0.0177660916375007;0
04-577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0389044506691566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.357213592507711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0035367682426506;0.0070735364853012;0;0;0.113176583764819;0.0212206094559036;0;0;0;0;0;0;0;0;0.0035367682426506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-578;0;0;0;0;0;0;0;1.88706033448022;0;0;0;0;0;0;0;0;0;0;0;0;0;1.37805063899542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.211052800566867;0;0;0;0;0;0;0;0;0;2.94232433731455;0;0;0;0.0372446118647412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.52384185997631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.937748836908501;0;0;0;0;0;0;0;0;0;1.06961976709876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0507778869123407;0;0
04-580;0;0;0;0;0;0;0;0;0;0.378787878787878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2171717171717;0;0;0;0;0;0;0;0;0;0;0;0;0;1.32929292929293;0;0.166161616161616;0;0;0;40.0449494949494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.126262626262626;0;0;1.64141414141414;0.252525252525252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04-581;0;0;0;0;0;0;0;1.00139324277255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.26819923371647;0;0;0;0;0;0;0;0;0.274294670846395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.46865203761755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.79484500174155;0;0;0;0.217694183211425;0.304771856495994;0;1.48032044583769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
