lake_id,classic.group,Target_taxon,biovol,Survey,total.biov
04-572,CYANOBACTERIA,Aphanocapsa,2.138414,Lake Pulse,58.10605626
04-572,CRYPTOPHYTES,Cryptomonas,3.464231,Lake Pulse,58.10605626
04-572,CYANOBACTERIA,Dolichospermum,13.68585,Lake Pulse,58.10605626
04-572,GREEN ALGAE,Lanceola,0.3849146,Lake Pulse,58.10605626
04-572,CYANOBACTERIA,Limnothrix,1.202858,Lake Pulse,58.10605626
04-572,CHRYSOPHYTES,Ochromonas,4.0496218,Lake Pulse,58.10605626
04-572,GREEN ALGAE,Oocystis,1.56906136,Lake Pulse,58.10605626
04-572,CYANOBACTERIA,Phormidium,4.49067,Lake Pulse,58.10605626
04-572,CRYPTOPHYTES,Rhodomonas,13.64308,Lake Pulse,58.10605626
04-572,GREEN ALGAE,Sphaerocystis,7.334761,Lake Pulse,58.10605626
04-572,OTHER,Stichogloea,5.47434,Lake Pulse,58.10605626
04-572,CHRYSOPHYTES,Uroglena,0.6682545,Lake Pulse,58.10605626
04-573,CYANOBACTERIA,Aphanocapsa,3.421463,Lake Pulse,224.21006
04-573,DINOFLAGELLATES,Biecheleria,3.207621,Lake Pulse,224.21006
04-573,OTHER,Codosiga,0.1684001,Lake Pulse,224.21006
04-573,CRYPTOPHYTES,Cryptomonas,26.17419,Lake Pulse,224.21006
04-573,DIATOMS,Cyclotella,4.105755,Lake Pulse,224.21006
04-573,CHRYSOPHYTES,Dinobryon,1.002382,Lake Pulse,224.21006
04-573,CHRYSOPHYTES,Epipyxis,0.6736004,Lake Pulse,224.21006
04-573,EUGLENOIDS,Euglena,74.8445,Lake Pulse,224.21006
04-573,CRYPTOPHYTES,Katablepharis,0.9409023,Lake Pulse,224.21006
04-573,GREEN ALGAE,Lemmermannia,32.33282,Lake Pulse,224.21006
04-573,GREEN ALGAE,Monoraphidium,0.3421463,Lake Pulse,224.21006
04-573,CHRYSOPHYTES,Ochromonas,33.7040826,Lake Pulse,224.21006
04-573,OTHER,Pedinella,2.73717,Lake Pulse,224.21006
04-573,CRYPTOPHYTES,Rhodomonas,32.87812,Lake Pulse,224.21006
04-573,GREEN ALGAE,Tetraedron,0.3421463,Lake Pulse,224.21006
04-573,EUGLENOIDS,Trachelomonas,7.334761,Lake Pulse,224.21006
04-574,DINOFLAGELLATES,Apocalathium,40.09527,Lake Pulse,929.9127819
04-574,DINOFLAGELLATES,Ceratium,363.8645,Lake Pulse,929.9127819
04-574,CYANOBACTERIA,Chroococcus,102.6439,Lake Pulse,929.9127819
04-574,CHRYSOPHYTES,Chrysosphaerella,15.15601,Lake Pulse,929.9127819
04-574,CRYPTOPHYTES,Cryptomonas,70.86838,Lake Pulse,929.9127819
04-574,DIATOMS,Cyclotella,2.505954,Lake Pulse,929.9127819
04-574,CYANOBACTERIA,Dolichospermum,128.30485,Lake Pulse,929.9127819
04-574,GREEN ALGAE,Eremosphaera,30.7397,Lake Pulse,929.9127819
04-574,DINOFLAGELLATES,Glenodinium,80.19054,Lake Pulse,929.9127819
04-574,CRYPTOPHYTES,Katablepharis,0.5346035,Lake Pulse,929.9127819
04-574,DIATOMS,Lindavia,26.6834,Lake Pulse,929.9127819
04-574,CYANOBACTERIA,Microcystis,1.069207,Lake Pulse,929.9127819
