Lake_ID,altitude,area,perimeter,latitude,longitude,lake_depth,secchi_bottom,Survey,secchi_depth,Sodium,Calcium,Magnesium,Chloride,Potassium,Sulfate,Temperature_up,Temperature_bottom,DO_up,DO_bottom,pH_up,pH_bottom,Conductivity,Chla,TP,TN,DOC,Colour,Stratification,Thermocline_m,Epilimnion_bot,Hypolimnion_top,wind_30d,t2m_30d,ssr_30d,tp_30d,degree_day_thr0,Biom_Cladocera_ugL,Biom_Copepoda_ugL,Biom_OTHER_ugL,Biom_CladOther_ugL,Biom_CopCal_ugL,Biom_CopCyc_ugL,Biom_CopOther_ugL,Biom_Daphnia_ugL,Ecoregion
06-315,250,0.375849,3528.4,49.711052,-83.684753,9.4,No,Lake Pulse,3.75,1.75684375,31.32062857,6.339,2.609354839,0.974903226,0.128484848,19.256437,15.226988,8.195274,3.528705,7.93,7.85,0.183808,3.492384,12.24886345,0.22415597,6.8375,11.51213134,stratified,8.601303717,5.117728239,8.75,2.234486008,17.55913946,14531543.23,0.082421992,5919.420518,12.54031688,30.84035727,0.00394176,8.688645836,21.06532448,9.77503279,0,3.851671044,NORTHERN FORESTS
06-455,106,8.73E-04,155,47.850967,-55.765996,3.45,No,Lake Pulse,1.835,2.41384375,0.810628571,0.302,4.109354839,0.112903226,0.958484848,21.288005,NA,8.546979,NA,6.9,NA,0.021741,2.019876,44.5699447,0.09983947,7.23,61.40292991,mixed,NA,NA,NA,2.908647468,17.82468519,14054772.56,0.08921921,4912.451073,NA,NA,NA,NA,NA,NA,NA,NA,NORTHERN FORESTS
06-456,310,266.299234,532638.7,55.131569,-101.446955,9.1,NA,Lake Pulse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07-001,9,0.691974,4531.2,46.349582,-62.52702,1.5,Yes,Lake Pulse,NA,6.4155,19.3,9.835,10.28148148,0.769,3.168235294,23.736424,NA,7.550172,NA,8.71,NA,0.186936,5.075058,43.70682622,0.184264527,9.7125,56.25764901,mixed,NA,NA,NA,4.176984423,19.42722721,20207988.75,0.041347599,4478.335127,NA,NA,NA,NA,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS
07-002,18,0.323174,7903.9,46.421872,-62.428828,3.05,No,Lake Pulse,2.675,7.4845,23,11.465,10.78148148,0.3215,5.978235294,24.775002,NA,9.952274,NA,NA,NA,0.227455,3.481515,66.3118647,0.182670027,4.6525,27.60797647,stratified,2,1.372846452,2.05,4.960745619,18.93287231,20875171.54,0.037841766,4380.985509,2.29866104,0.034710208,0.086062939,1.528512211,0,0.034710208,0,0.770148829,NA
07-003,40,0.151362,1547.6,46.23885,-62.885457,1,Yes,Lake Pulse,NA,2.577,0.7975,0.49,4.261481481,0.5295,0.058235294,26.422064,NA,8.266265,NA,NA,NA,0.024058,7.705231,50.75632149,0.150250527,6.665,69.93382106,mixed,NA,NA,NA,3.949751499,19.61686768,19786781.46,0.042672195,4445.575037,34.12081352,0.727213181,0,34.12081352,0.433745205,0.293467976,0,0,EASTERN TEMPERATE FORESTS
07-004,10,0.305108,5390.9,45.92193,-64.087807,1.7,No,Lake Pulse,0.9,3.608,8.557,1.005,2.871481481,0.5455,0.653235294,NA,NA,NA,NA,NA,NA,NA,NA,42.2641981,0.303739027,19.3775,147.7118056,NA,NA,NA,NA,3.014683748,19.02184989,18890730.04,0.046882518,4546.894306,2.655457226,0.099603066,0,2.655457226,0,0.099603066,0,0,EASTERN TEMPERATE FORESTS
07-005,9,0.997314,5813.4,45.902727,-64.155071,1.5,No,Lake Pulse,0.565,2.7125,5.307,0.78,2.581481481,0.3855,0.993235294,22.542311,NA,8.51407,NA,7.19,NA,0.042424,6.997348,37.73959371,0.113452527,15.7225,173.1553053,mixed,NA,NA,NA,2.842501872,19.23202487,18530395.93,0.051285905,4504.544923,5.838460794,0.681255955,0,5.838460794,0.159117059,0.268819345,0.253319552,0,EASTERN TEMPERATE FORESTS
07-006,13,0.653799,4750.8,46.110489,-64.150702,3.8,No,Lake Pulse,2.175,3.1385,3.7275,0.56,3.851481481,0.3855,1.073235294,23.021338,NA,8.46519,NA,6.97,NA,0.038851,4.518329,13.37355531,0.196788527,9.7125,64.59451809,mixed,NA,NA,NA,3.855878896,19.20648395,19413231.16,0.038172915,4486.752935,5.310289606,44.26442124,0,4.305444151,39.29464909,4.969772157,0,1.004845455,EASTERN TEMPERATE FORESTS
07-007,10,0.545317,4640.2,45.799248,-64.210287,4.5,No,Lake Pulse,0.85,70.965,24.56,2.725,108.0814815,2.215,6.718235294,21.456386,21.238842,9.1121,7.57922,8.32,NA,0.463497,19.033262,105.8243234,0.619114027,7.7675,19.50818056,mixed,NA,NA,NA,2.431656514,18.79102636,18347443.33,0.057517643,4596.245712,369.2855554,12.80610894,0.032068554,13.81163284,0.490296328,12.31581261,0,355.4739226,EASTERN TEMPERATE FORESTS
