"","Lake_ID","target_taxon","density_NopL","survey","classic_group","biomass_ugL"
"1","04-572","Daphnia",1.40662325536275,"Lake Pulse","cladocera",4.630550548
"2","04-572","Cyclopoida",1.2600999995958,"Lake Pulse","copepoda",0.448672061
"3","04-572","Leptodiaptomus.pribilofensis",1.16241782908449,"Lake Pulse","copepoda",3.213492235
"4","04-572","Skistodiaptomus.oregonensis",4.31755193659954,"Lake Pulse","copepoda",12.10931302
"5","04-572","Bosmina.longirostris",6.94520232335357,"Lake Pulse","cladocera",6.708226647
"6","04-572","Ceriodaphnia",0.146523255766953,"Lake Pulse","cladocera",0.070682351
"7","04-572","Chydorus.sphaericus",0.117218604613562,"Lake Pulse","cladocera",0.036759938
"8","04-572","Diaphanosoma.brachyurum",0.117218604613562,"Lake Pulse","cladocera",0.077025121
"9","04-573","Daphnia.galeata.mendotae",0.620294737941797,"Lake Pulse","cladocera",1.386938704
"10","04-573","Daphnia.longiremis",2.41588476882595,"Lake Pulse","cladocera",0.970717809
"11","04-573","Diacyclops.thomasi",3.7544155191214,"Lake Pulse","copepoda",3.711485912
"12","04-573","Skistodiaptomus.oregonensis",1.69764875647229,"Lake Pulse","copepoda",4.717103425
"13","04-573","Bosmina.longirostris",7.14971303206598,"Lake Pulse","cladocera",3.954869508
"14","04-573","Ceriodaphnia",0.0979412744118627,"Lake Pulse","cladocera",0.089896882
"15","04-573","Diaphanosoma.brachyurum",0.0979412744118627,"Lake Pulse","cladocera",0.030174802
"16","04-573","Holopedium.glacialis",0.0979412744118627,"Lake Pulse","cladocera",0.135940729
"17","04-573","Simocephalus",0.0326470914706209,"Lake Pulse","cladocera",0.051195737
"18","04-573","Leptodora.Kindtii",0.037544155191214,"Lake Pulse","cladocera",NA
"19","04-574","Cyclopoida",8.40336134453782,"Lake Pulse","copepoda",5.531124023
"20","04-574","Bosmina.longirostris",90.6862745098039,"Lake Pulse","cladocera",40.10151075
"21","04-574","Pleuroxus.procurvus",0.350140056022409,"Lake Pulse","cladocera",1.200590459
"22","04-575","Daphnia",0.089126559714795,"Lake Pulse","cladocera",1.396038886
"23","04-575","Cyclopoida",21.4795008912656,"Lake Pulse","copepoda",15.85772586
"24","04-575","Leptodiaptomus.pribilofensis",8.55614973262032,"Lake Pulse","copepoda",27.86609702
"25","04-575","Bosmina.longirostris",0.089126559714795,"Lake Pulse","cladocera",0.067618017
"26","04-575","Ceriodaphnia",0.089126559714795,"Lake Pulse","cladocera",0.032982845
"27","04-576","Daphnia.galeata.mendotae",0.168777870556256,"Lake Pulse","cladocera",0.863341055
"28","04-576","Daphnia.longiremis",1.84767353030007,"Lake Pulse","cladocera",3.726818476
"29","04-576","Cyclopoida",0.390854016025015,"Lake Pulse","copepoda",0.264970736
"30","04-576","Hesperodiaptomus.nevadensis",0.701760619681276,"Lake Pulse","copepoda",3.724386773
"31","04-576","Bosmina.longirostris",0.479684474212518,"Lake Pulse","cladocera",0.539779756
"32","04-576","Diaphanosoma.birgei",0.053298274912502,"Lake Pulse","cladocera",0.083940486
"33","04-576","Sida.crystallina",0.0177660916375007,"Lake Pulse","cladocera",0.16872776
"34","04-576","Ostracoda",0.0177660916375007,"Lake Pulse",NA,0.031594146
"35","04-577","Cyclopoida",0.0389044506691566,"Lake Pulse","copepoda",0.099873358
"36","04-577","Skistodiaptomus.oregonensis",0.357213592507711,"Lake Pulse","copepoda",0.524983771
"37","04-577","Bosmina.longirostris",0.0035367682426506,"Lake Pulse","cladocera",0.00578394
"38","04-577","Camptocercus",0.0070735364853012,"Lake Pulse","cladocera",0.007666675
"39","04-577","Ceriodaphnia",0.113176583764819,"Lake Pulse","cladocera",0.06188722
"40","04-577","Chydorus.sphaericus",0.0212206094559036,"Lake Pulse","cladocera",0.010525479
"41","04-577","Eurycercus",0.0035367682426506,"Lake Pulse","cladocera",0.013462822
"42","04-578","Daphnia.longiremis",1.88706033448022,"Lake Pulse","cladocera",0.546970622
"43","04-578","Diacyclops.thomasi",1.37805063899542,"Lake Pulse","copepoda",1.148140808
"44","04-578","Calanoida",0.211052800566867,"Lake Pulse","copepoda",0.316327715
"45","04-578","Bosmina.longirostris",2.94232433731455,"Lake Pulse","cladocera",2.154515308
"46","04-578","Ceriodaphnia",0.0372446118647412,"Lake Pulse","cladocera",0.015854239
"47","04-579","Diacyclops.thomasi",1.52384185997631,"Lake Pulse","copepoda",1.023628594
"48","04-579","Calanoida",0.937748836908501,"Lake Pulse","copepoda",1.201811715
"49","04-579","Bosmina.longirostris",1.06961976709876,"Lake Pulse","cladocera",0.51607391
"50","04-579","Leptodora.Kindtii",0.0507778869123407,"Lake Pulse","cladocera",NA
"51","04-580","Daphnia.middendorffiana",0.378787878787878,"Lake Pulse","cladocera",7.119453852
