Genus,Classic group,Class,Order,Family,Method used to reach final decision,Resource acquisition strategy
Bacillaria,DIATOMS,Bacillariophyceae,Bacillariales,Bacillariaceae,Cyano/Diatom,Autotroph
Cylindrotheca,DIATOMS,Bacillariophyceae,Bacillariales,Bacillariaceae,Cyano/Diatom,Autotroph
Denticula,DIATOMS,Bacillariophyceae,Bacillariales,Bacillariaceae,Cyano/Diatom,Autotroph
Nitzschia,DIATOMS,Bacillariophyceae,Bacillariales,Bacillariaceae,Cyano/Diatom,Autotroph
Achnanthidium,DIATOMS,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,Cyano/Diatom,Autotroph
Cocconeis,DIATOMS,Bacillariophyceae,Cocconeidales,Cocconeidaceae,Cyano/Diatom,Autotroph
Cymbella,DIATOMS,Bacillariophyceae,Cymbellales,Cymbellaceae,Cyano/Diatom,Autotroph
Encyonopsis,DIATOMS,Bacillariophyceae,Cymbellales,Cymbellaceae,Cyano/Diatom,Autotroph
Delicatophycus,DIATOMS,Bacillariophyceae,Cymbellales,Gomphonemataceae,Cyano/Diatom,Autotroph
Encyonema,DIATOMS,Bacillariophyceae,Cymbellales,Gomphonemataceae,Cyano/Diatom,Autotroph
Gomphonema,DIATOMS,Bacillariophyceae,Cymbellales,Gomphonemataceae,Cyano/Diatom,Autotroph
Rhoicosphenia,DIATOMS,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Cyano/Diatom,Autotroph
Actinella,DIATOMS,Bacillariophyceae,Eunotiales,Eunotiaceae,Cyano/Diatom,Autotroph
Eunotia,DIATOMS,Bacillariophyceae,Eunotiales,Eunotiaceae,Cyano/Diatom,Autotroph
Fragilaria,DIATOMS,Bacillariophyceae,Fragilariales,Fragilariaceae,Cyano/Diatom,Autotroph
Odontidium,DIATOMS,Bacillariophyceae,Fragilariales,Fragilariaceae,Cyano/Diatom,Autotroph
Synedra,DIATOMS,Bacillariophyceae,Fragilariales,Fragilariaceae,Cyano/Diatom,Autotroph
TBD,DIATOMS,Bacillariophyceae,Fragilariales,Fragilariaceae,Cyano/Diatom,Autotroph
Pseudostaurosira,DIATOMS,Bacillariophyceae,Fragilariales,Staurosiraceae,Cyano/Diatom,Autotroph
Staurosira,DIATOMS,Bacillariophyceae,Fragilariales,Staurosiraceae,Cyano/Diatom,Autotroph
Staurosirella,DIATOMS,Bacillariophyceae,Fragilariales,Staurosiraceae,Cyano/Diatom,Autotroph
Ctenophora,DIATOMS,Bacillariophyceae,Licmophorales,Ulnariaceae,Cyano/Diatom,Autotroph
Pennales,DIATOMS,Bacillariophyceae,Licmophorales,Ulnariaceae,Cyano/Diatom,Autotroph
Ulnaria,DIATOMS,Bacillariophyceae,Licmophorales,Ulnariaceae,Cyano/Diatom,Autotroph
Mastogloia,DIATOMS,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Cyano/Diatom,Autotroph
Amphipleura,DIATOMS,Bacillariophyceae,Naviculales,Amphipleuraceae,Cyano/Diatom,Autotroph
Frustulia,DIATOMS,Bacillariophyceae,Naviculales,Amphipleuraceae,Cyano/Diatom,Autotroph
Brachysira,DIATOMS,Bacillariophyceae,Naviculales,Brachysiraceae,Cyano/Diatom,Autotroph
Capartogramma,DIATOMS,Bacillariophyceae,Naviculales,Naviculaceae,Cyano/Diatom,Autotroph
Gyrosigma,DIATOMS,Bacillariophyceae,Naviculales,Naviculaceae,Cyano/Diatom,Autotroph
Hippodonta,DIATOMS,Bacillariophyceae,Naviculales,Naviculaceae,Cyano/Diatom,Autotroph
