TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,,,,,,,,,,,,,,,
ACANTHOCYCLOPS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,,,,,,,,,,,,,,,,,
ACANTHOCYCLOPS BREVISPINOSUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,BREVISPINOSUS,,,,,,,,,,,,,,,,
ACANTHOCYCLOPS ROBUSTUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,ROBUSTUS,,,,,,,,,,,,,,,,
ACANTHOCYCLOPS VERNALIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,VERNALIS,,,,,,,,,,,,,,,,
ACANTHODIAPTOMUS DENTICORNIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ACANTHODIAPTOMUS,DENTICORNIS,,,,,,,,,,,,,,,,
ACANTHOLEBERIS CURVIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,MACROTHRICIDAE,,ACANTHOLEBERIS,CURVIROSTRIS,,,,,,,,,,,,,,,,
ACARTIA TONSA,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,ACARTIIDAE,,ACARTIA,TONSA,,,,,,,,,,,,,,,,
ACROPERUS HARPAE,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ACROPERUS,HARPAE,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS CLAVIPES,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,CLAVIPES,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS FORBESI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,FORBESI,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS LEPTOPUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,LEPTOPUS,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS LINTONI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,LINTONI,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS SASKATCHEWANENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,SASKATCHEWANENSIS,,,,,,,,,,,,,,,,
AGLAODIAPTOMUS SPATULOCRENATUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,SPATULOCRENATUS,,,,,,,,,,,,,,,,
ALONA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,,,,,,,,,,,,,,,,,
ALONA AFFINIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,AFFINIS,,,,,,,,,,,,,,,,
ALONA COSTATA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,COSTATA,,,,,,,,,,,,,,,,
