Lake_ID,Ergasilus.spp.,harpacticoid,ostracod,Daphnia.ambigua,Daphnia.catawba,Daphnia.dentifera,Daphnia.galeata.mendotae,Daphnia.longiremis,Daphnia.parvula,Daphnia.pulicaria,Daphnia.retrocurva,Daphnia.thorata,Daphnia.spp.,Acanthocyclops.robustus,Acanthocyclops.sp.,Cyclops.scutifer,Diacyclops.thomasi,Eucyclops.elegans,Eucyclops.pectinifer,Eucyclops.spp.,Mesocyclops.edax,Microcyclops.spp.,Orthocyclops.modestus,Tropocyclops.prasinus,cyclopoid.copepodid,Aglaodiaptomus.leptopus,Aglaodiaptomus.spatulocrenatus,Epischura.lacustris,Epischura.nevadensis,Epischura.spp.,Leptodiaptomus.ashlandi,Leptodiaptomus.minutus,Leptodiaptomus.nudus,Leptodiaptomus.sicilis,Leptodiaptomus.siciloides,Limnocalanus.macrurus,Onychodiaptomus.singuienus,Senecella.calanoides,Skistodiaptomus.oregonensis,Skistodiaptomus.pallidus,Skistodiaptomus.pygmaeus,Skistodiaptomus.reighardi,Skistodiaptomus.spp.,calanoid.copepodid,Acroperus.harpae,Alona.affinis,Alona.costata,Alona.guttata,Alona.spp.,Alonella.nana,Bosmina.longirostris,Camptocercus.spp.,Ceriodaphnia.lacustris,Ceriodaphnia.spp.,Chydorus.sphaericus,Diaphanosoma.birgei,Diaphanosoma.brachyurum,Diaphanosoma.spp.,Eubosmina.coregoni,Eubosmina.longispina,Eubosmina.tubicen,Holopedium.glacialis,Macrothrix.sp.,Picripleuroxus.denticulatus,Pleuroxus.procurvus,Polyphemus.pediculus,Sida.crystallina,Simocephalus.spp.,Daphnia.dubia,Daphnia.magna,Daphnia.similis,Diacyclops.navus,Macrocyclops.albidus,Mesocyclops.americanus,Acanthodiaptomus.denticornis,Aglaodiaptomus.clavipes,Aglaodiaptomus.forbesi,Epischura.nordenskioldi,Hesperodiaptomus.arcticus,Hesperodiaptomus.eiseni,Hesperodiaptomus.nevadensis,Hesperodiaptomus.spp.,Leptodiaptomus.pribilofensis,Leptodiaptomus.tyrrelli,Alona.intermedia,Alona.quadrangularis,Alonella.acutirostris,Ceriodaphnia.quadrangula,Dunhevedia.crassa,Eubosmina.spp.,Graptoleberis.testudinaria,Ilyocryptus.spp.,Latona.sp.,Moina.spp.,Cyclops.columbianus,Daphnia.middendorffiana,Eurycercus.spp.,Hesperodiaptomus.franciscanus,Hesperodiaptomus.kenai,Heterocope.septentrionalis,Onychodiaptomus.hesperus,Scapholeberis.spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-036,0,0,0,0,0,0,0,0,0,0,0,0,0.179194727,0,0,3.50837923,0,0,0,0,3.826926854,0,0,0,0,0,0,0,0,0,0,3.143743828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.713374707,0,0.019407388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-066,0,0,0,0,0,0,0,0,0,10.72308683,0,0,0,0,0,1.808327374,0,0,0,0,0.698838959,0,0,0.29031055,0,0,0.385005687,0,0,0,0,0.464613578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149612,0,0.663701648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-071,0,0,0,0,0,0,0,0,0,33.09544623,0,0,0,0,0,0,0,0,0,0,25.11873553,0,0,0.491517806,0,0,0,10.39661413,0,0,0,0,0,0,0,0,0,0,2.356268665,0,0,0,0,0,0,0,0,0,0,0,0.082000566,0,0,0,0,0,0,0,0,0,0,11.51646131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-080,0,0,0,0,0,0,6.790155276,0,0,9.162992613,0,0,0,0,0,0,3.494386739,0,0,0,2.641065462,0,0,0.283356023,0,0,2.760579368,0.4446479,0,0,0,1.448890634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08380745,0,0,1.342335261,0,8.338125921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-083,0,0,0,0,122.0787952,0,20.96818545,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487649198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.614157015,0,0,0,0,0,0,0,0,0,0,0,5.207589607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-085,0,0,0,0,0,0,1.135776609,0,0,175.9005812,0,0,0,0,0,0,0,0,0,0,4.88026696,0,0,0.383544259,0,0,16.95004105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-095,0,0,0,0,0,0,0,0,0,0,15.83394917,0,0,0,0,1.074030667,0,0,0,0,8.741821189,0,0,1.364822593,0,0,0,1.12138421,0,0,0,19.3499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.134308937,0,0,0.803566435,0,0,0,0,0,0,0.319320311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-096,0,0,0,0,0,0,44.04750954,0,0,0,0,0,0,0,0,0,1.84922958,0,0,0,22.04185218,0,0,1.111434401,0,0,0,0,0,0,0,7.602675807,0,0,0,0,0,0,1.185959603,0,0,0,0,0,0,0,0,0,0,0,0.374875612,0,0,0,0,0,0.304494891,0,0,0,0,12.81726135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655045204,0,0,0,1.663801148,0,0,0,0,0,0,0,0,0,0,0.433919957,0,0,0,0,0,0,0.229155156,0,0,0,0,0,0,0,0,0,0,0,0.503478007,0,0,0.001624946,0,0,0,0,0,0,0,0.529880086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-101,0,0,0,0,0,0,2.947084142,0,0,0,0,0,0,0,0,0,0,0,8.75287307,0,0,0,0,1.451761701,0,0,0,21.24742428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.298415648,0,0.094950557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-102,0,0,0,0,19.87354155,0,1.300984507,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429665011,0,0,2.17910063,0,0,0,0,0,5.194424072,0,30.12748791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052642742,0,0,0.587058464,0,3.198300435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-103,0,0,0,0,0,0,29.63834524,0,0,61.91534354,2.251559081,0,0,0,0,37.74281596,0,0,0,0,28.64279705,0,0,10.86433613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.132804345,0,0,0,0,0,0,0,0,0,0,0,0.173467379,0,0,5.621011905,2.226005216,0,1.038183268,0,0,0.092528612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-104,0,0,0,0,0,0,0.202519512,0,0,166.7200748,0,0,0,0,0,0,0.311778949,0,0,0,33.79499373,0,0,0,0,0,0,15.13040772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037059943,0,0,0,0,0,0,0,0,0,0,0.040272174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-124,0,0,0,0,0,0,8.270887165,0,0,11.29895539,0,0,0,0,0,0,3.085537352,0,0,0,0.592430232,0,0,0,0,0,0,16.78117599,0,0,0,5.746712891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282792011,0,0,0,0,0,1.198174503,0,0,0.887181285,0,0.565180461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-125,0,0,0,0,0,0,0,0,0,0.521585031,0,0,0,19.33367222,0,0,0,0,0,0,1.220578536,0,0,0,0,0,0,18.03334999,0,0,0,0.999551229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009743985,0,0,0,0,0,0,0,0,0,0,6.223747335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-126,0,0,0,0,5.967893941,0,1.818206364,0,0,0,0,0,0,0,0,0,3.401795536,0,0,0,0,0,0,1.025679003,0,0,0,0,0,25.09075669,0,4.255264614,0,0,0,0,0,0,3.298378603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805329158,0,0,0.558332441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-127,0,0,0,0,0,0,0.102457948,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000542929,0,0,2.550530476,0,0,0,0,0,0,0,16.98532904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.535756442,0,0,0.07496561,0,0,2.422665216,0,0,0,0,122.5828402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-128,0,0.052928987,0,0,0,0,0.468889381,0,0,111.9850355,0,0,0,0,0,18.40812829,0,0,0,0,2.228387093,0,0,0,0,0,0,0.588212885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-129,0,0,0,0,0,0,14.47658233,0,0,0,0,0,0,10.0856218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.876092153,0,55.16264531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096646841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-130,0,0,0,0,0,0,51.29380138,0,0,13.54282863,0,0,0,0,0,0,0.06980744,0,0,0,13.54511285,0,0,0,0,0,0,11.92840899,0,0,0,9.143207567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065859089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-131,0,0,0,0,0,0,16.26274253,0,0,157.3378389,0,0,0,0,0,119.8472529,0,0,0,0,22.37030839,0,0,0,0,0,0,1.553161853,0,0,0,0,0,0,0,0,0,0,2.136312885,0,0,0,0,0,0,0,0,0,0,0,0.050156221,0,0,0,0,0,0,0,0,1.143224201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-132,0,0,0,0,4.131536692,0,41.70177287,0,0,0,0,0,0,0,0,0,0,0,0,0,97.88857354,0,0,0.794259815,0,0,0,0,0,0,0,5.564423891,0,0,0,0,0,0,2.641285567,0,0,0,0,0,0,0,0,0,0,0,1.624395263,0,0,0.030332324,0,0,0.275884999,0,0,0,0.784414329,1.509723959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-133,0,0,0,0,0,0,51.98411257,0,0,42.19076469,0,0,0,0,0,12.85004404,0,0,0,0,0,0,0,0.585470534,0,0,0,0,0,4.833686663,0,13.57712719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118602732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-136,0,0,0,0,0,0,0,0,0,0,67.10175035,0,0,0,0,0,8.684970211,0,0,0,0,0,0,0.791104901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41787847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628469343,0,9.954913804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-137,0,0,0,0,0,0,3.217721077,0,0,0,0,0,0,0,0,0,12.21837136,0,0,0,3.438696079,0,0,7.476092835,0,0,0,0,0,0,0,5.0092607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00217923,0,0,0.372996371,0.019962328,0,0,0,0,0,0,0.152865646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-139,0,0,0,0,0,0,31.31094114,0,0,29.91253905,0,0,0,0,0,0,17.50679767,0,0,0,16.82695179,0,0,0.117785946,0,0,0,1.833244244,0,0,0,0.831701041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129645445,0,0,0,0.017914388,0,0,0,0,0,0,0.316247701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-140,0,0,0,0,0,0,15.25332401,0,0,0,0,0,0,0,0,0,12.15414637,0,0,0,0,0,0,2.185085458,0,0,0,12.25866142,0,0,0,24.84317567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61287519,0,0,6.238912714,0,42.92647189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-141,0,0,0.053875296,0,0,0,19.83997653,0,0,0,0,0,0,0,0,0,14.85213739,0,0,0,19.16185931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.42016237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0190545,0.107530704,0,0.443872674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-142,0,0,0,0,0,0,0,0,0,43.93823405,0,0,0,0,0,0,0,0,0,0,0,0,0,1.768551552,0,0,0,0,0,0.504031767,0,18.89278613,0,0,0,0,0,0,0.657922942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014134898,0,0,0.190144876,0,0,0.280864121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-146,0,0,0,0,0,0,8.696016698,0,0,0,0,0,0,0,0,0,1.590148783,0,0,0,2.114815619,0,0,2.671945288,0,0,0,0,0,0,0,19.21670744,0,0,0,0,0,12.36029632,0,0,0,0,0,0,0,0,0,0,0,0,3.611461252,0,0,0.356338388,21.8481518,0,0.060252183,0,0,0,0,5.290360285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-156,0,0,0,0,0,0,4.454744894,0,0,36.87845904,0,0,0,0,0,6.383744923,0,0,0,0,0,0,0,0.085668988,0,0,0,2.997372332,0,0,0,0.674504088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316886356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
