ID_lakepulse,bottle,date,comments,Comment_CP,genus ,species,division,tow length (m),net radius (cm),tow volume filtered (L),total sample volume (ml),aliquot (ml) ,count factor,#individuals counted,# / L  ,biomass factor (µg/ind),species biomass (µg d.w./L) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,Bosmina,longirostris,Cladocera,1,10,31.42,122,65.0,0.06,218,13.024,0.376,4.892,0.29,0.17,0.19,0.24,0.23,0.21,0.23,0.31,0.23,0.19
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,Diaphanosoma,brachyurum,Cladocera,1,10,31.42,122,65.0,0.06,1,0.060,0.746,0.045,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,calanoid,copepodid,Copepoda,1,10,31.42,122,65.0,0.06,47,2.808,0.794,2.229,0.44,0.25,0.30,0.46,0.29,0.33,0.45,0.46,0.29,0.38
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,cyclopoid,copepodid,Copepoda,1,10,31.42,122,65.0,0.06,1,0.060,0.050,0.003,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,Leptodiaptomus,minutus copepodid,Copepoda,1,10,31.42,122,65.0,0.06,17,1.016,1.495,1.518,0.50,0.69,0.67,0.51,0.49,0.40,0.48,0.52,0.69,0.54
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,Leptodiaptomus,minutus,Copepoda,1,10,31.42,122,65.0,0.06,99,5.915,1.754,10.374,0.86,0.83,0.85,0.94,0.83,0.81,0.71,0.77,0.84,0.87
 17-062 ,Zoop1,11-Aug-2017,Specimens degraded.,,Hydracarina,,Utermöhl Chamber,1,10,31.42,122,65.0,0.06,1,0.060,,,,,,,,,,,,
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Daphnia,pulicaria,Cladocera,1,10,31.42,236,23.0,0.33,104,33.968,16.685,566.764,1.47,1.02,0.98,1.00,1.14,1.11,1.31,1.20,0.97,0.99
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Daphnia,spp.,Cladocera,1,10,31.42,236,23.0,0.33,174,56.831,6.372,362.123,0.87,0.61,0.72,0.83,0.81,0.84,0.85,0.90,0.64,0.69
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Acanthocyclops,robustus,Copepoda,1,10,31.42,236,23.0,0.33,4,1.306,4.325,5.650,0.77,0.81,0.79,0.78,0.00,0.00,0.00,0.00,0.00,0.00
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Aglaodiaptomus,clavipes,Copepoda,1,10,31.42,236,23.0,0.33,44,14.371,30.412,437.047,2.09,2.01,2.41,1.91,2.18,2.10,1.96,2.30,2.06,2.00
 10-276 ,Zoop1+Zoop2,na,High algae.,na,calanoid,copepodid,Copepoda,1,10,31.42,236,23.0,0.33,200,65.323,2.022,132.112,0.44,0.69,0.72,0.59,0.64,0.71,0.53,0.45,0.70,0.75
 10-276 ,Zoop1+Zoop2,na,High algae.,na,cyclopoid,copepodid,Copepoda,1,10,31.42,236,23.0,0.33,70,22.863,1.247,28.512,0.62,0.04,0.52,0.51,0.54,0.53,0.61,0.48,0.54,0.58
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Diacyclops,thomasi,Copepoda,1,10,31.42,236,23.0,0.33,9,2.940,1.573,4.625,0.87,0.79,0.74,0.90,0.84,1.00,0.95,0.81,0.83,0.00
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Leptodiaptomus,minutus,Copepoda,1,10,31.42,236,23.0,0.33,22,7.185,2.156,15.490,0.90,0.87,0.84,0.89,0.91,0.82,0.87,0.94,0.98,0.96
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Leptodiaptomus,siciloides,Copepoda,1,10,31.42,236,23.0,0.33,187,61.077,3.312,202.280,1.03,1.07,1.04,1.09,1.04,1.05,1.10,1.02,1.07,1.11
 10-276 ,Zoop1+Zoop2,na,High algae.,na,Mesocyclops,edax,Copepoda,1,10,31.42,236,23.0,0.33,4,1.306,3.973,5.191,0.90,0.84,1.01,0.95,0.00,0.00,0.00,0.00,0.00,0.00
 10-352 ,Zoop1,na,na,na,Chydorus ,sphaericus,Cladocera,1,10,31.42,112,3.0,1.19,2,2.377,0.891,2.117,0.27,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-352 ,Zoop1,na,na,na,Daphnia,pulicaria,Cladocera,1,10,31.42,112,3.0,1.19,18,21.390,31.713,678.353,0.89,1.50,0.91,1.63,0.97,1.53,0.94,1.73,1.58,1.98
 10-352 ,Zoop1,na,na,na,Daphnia,spp.,Cladocera,1,10,31.42,112,3.0,1.19,3,3.565,5.336,19.022,0.74,0.71,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-352 ,Zoop1,na,na,na,Aglaodiaptomus,forbesi,Copepoda,1,10,31.42,112,3.0,1.19,2,2.377,16.178,38.450,1.58,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-352 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,1,10,31.42,112,3.0,1.19,226,268.568,3.083,827.873,0.76,0.74,0.69,0.84,0.73,0.57,0.54,0.84,0.59,0.62
 10-352 ,Zoop1,na,na,na,Hesperodiaptomus,nevadensis,Copepoda,1,10,31.42,112,3.0,1.19,1,1.188,78.681,93.501,3.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-352 ,Zoop1,na,na,na,Leptodiaptomus,sicilis,Copepoda,1,10,31.42,112,3.0,1.19,51,60.606,5.619,340.543,1.39,1.11,1.26,1.28,1.42,1.24,1.44,1.36,1.31,1.34
 10-352 ,Zoop1,na,na,na,Hydracarina,,Large Taxa Scan,1,10,31.42,112,112.0,0.03,1,0.032,,,,,,,,,,,,
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Bosmina,longirostris,Cladocera,1,10,31.42,128,128.0,0.03,1,0.032,0.641,0.020,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Chydorus ,sphaericus,Cladocera,1,10,31.42,128,128.0,0.03,3,0.095,0.833,0.080,0.30,0.25,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Diaphanosoma,birgei,Cladocera,1,10,31.42,128,128.0,0.03,3,0.095,1.501,0.143,0.89,0.64,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Macrothrix ,sp.,Cladocera,1,10,31.42,128,128.0,0.03,1,0.032,0.137,0.004,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,calanoid,copepodid,Copepoda,1,10,31.42,128,128.0,0.03,133,4.234,2.106,8.917,0.65,0.99,0.45,0.55,0.74,0.42,0.69,0.46,0.69,0.66
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,cyclopoid,copepodid,Copepoda,1,10,31.42,128,128.0,0.03,89,2.833,0.701,1.986,0.45,0.36,0.59,0.35,0.36,0.35,0.37,0.65,0.35,0.36
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Heterocope,septentrionalis,Copepoda,1,10,31.42,128,128.0,0.03,2,0.064,50.145,3.192,2.19,3.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-613 ,Zoop1,na,Low abundance. Unable to meet tally.,,Leptodiaptomus,nudus,Copepoda,1,10,31.42,128,128.0,0.03,30,0.955,4.361,4.164,1.29,1.34,1.20,1.19,1.16,1.24,1.04,1.11,1.19,1.09
 04-620 ,Zoop1,na,na,,Ceriodaphnia,spp.,Cladocera,1,10,31.42,117,45.0,0.08,10,0.828,1.086,0.899,0.41,0.40,0.50,0.45,0.38,0.41,0.48,0.39,0.40,0.33
 04-620 ,Zoop1,na,na,,Chydorus ,sphaericus,Cladocera,1,10,31.42,117,45.0,0.08,6,0.497,1.026,0.510,0.22,0.29,0.21,0.24,0.38,0.31,0.00,0.00,0.00,0.00
 04-620 ,Zoop1,na,na,,Diaphanosoma,birgei,Cladocera,1,10,31.42,117,45.0,0.08,7,0.579,1.755,1.016,0.77,0.80,0.87,0.75,0.71,0.61,0.91,0.00,0.00,0.00
 04-620 ,Zoop1,na,na,,Polyphemus,pediculus,Cladocera,1,10,31.42,117,45.0,0.08,6,0.497,7.789,3.868,0.42,0.95,0.43,0.51,0.57,0.53,0.00,0.00,0.00,0.00
 04-620 ,Zoop1,na,na,,calanoid,copepodid,Copepoda,1,10,31.42,117,45.0,0.08,215,17.793,2.122,37.766,0.46,0.79,0.43,0.82,0.61,0.74,0.86,0.62,0.50,0.52
 04-620 ,Zoop1,na,na,,cyclopoid,copepodid,Copepoda,1,10,31.42,117,45.0,0.08,8,0.662,0.887,0.587,0.46,0.51,0.48,0.46,0.49,0.50,0.48,0.50,0.00,0.00
 04-620 ,Zoop1,na,na,,Leptodiaptomus,nudus,Copepoda,1,10,31.42,117,45.0,0.08,28,2.317,3.496,8.102,1.05,1.10,1.05,1.07,1.09,1.12,1.11,1.07,1.13,1.07
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Bosmina,longirostris,Cladocera,1.6,10,50.27,232,6.0,0.77,168,129.234,0.516,66.675,0.23,0.26,0.28,0.25,0.26,0.28,0.30,0.24,0.28,0.27
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Chydorus ,sphaericus,Cladocera,1.6,10,50.27,232,6.0,0.77,25,19.231,0.533,10.251,0.22,0.24,0.28,0.22,0.25,0.32,0.19,0.16,0.25,0.20
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Daphnia,pulicaria,Cladocera,1.6,10,50.27,232,6.0,0.77,46,35.385,48.382,1712.029,2.52,1.31,1.58,1.48,2.06,1.45,1.44,1.51,1.49,1.56
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Diaphanosoma,birgei,Cladocera,1.6,10,50.27,232,6.0,0.77,2,1.538,4.151,6.386,1.14,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,cyclopoid,copepodid,Copepoda,1.6,10,50.27,232,6.0,0.77,15,11.539,5.126,59.142,1.17,0.53,0.45,0.84,0.54,0.99,0.66,0.59,0.84,0.99
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Diacyclops,thomasi,Copepoda,1.6,10,50.27,232,6.0,0.77,4,3.077,4.309,13.260,1.24,1.29,1.34,1.19,0.00,0.00,0.00,0.00,0.00,0.00
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Leptodiaptomus,siciloides copepodid,Copepoda,1.6,10,50.27,232,6.0,0.77,164,126.157,3.295,415.630,0.86,0.83,0.67,0.69,0.74,0.40,0.64,0.73,0.68,0.79
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Leptodiaptomus,siciloides,Copepoda,1.6,10,50.27,232,6.0,0.77,39,30.001,4.323,129.679,1.23,1.17,1.14,1.12,1.15,1.13,1.33,1.22,1.19,1.15
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Mesocyclops,edax,Copepoda,1.6,10,50.27,232,6.0,0.77,8,6.154,16.400,100.925,1.58,0.99,1.44,0.99,1.53,0.94,1.29,1.39,0.00,0.00
 10-412 ,Zoop1+Zoop2,na,High algae. ,na,Hydracarina,,Utermöhl Chamber,1.6,10,50.27,232,6.0,0.77,3,2.308,,,,,,,,,,,,
 06-259 ,Zoop1,na,High algae.,na,Daphnia,catawba,Cladocera,1.6,10,50.27,130,8.0,0.32,207,66.920,16.252,1087.565,1.39,0.99,1.49,0.89,1.09,0.99,1.09,0.84,1.34,0.74
 06-259 ,Zoop1,na,High algae.,na,Eubosmina,tubicen,Cladocera,1.6,10,50.27,130,8.0,0.32,3,0.970,0.647,0.627,0.34,0.21,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 06-259 ,Zoop1,na,High algae.,na,Holopedium,glacialis,Cladocera,1.6,10,50.27,130,8.0,0.32,28,9.052,5.258,47.598,0.74,0.99,1.09,1.04,0.43,0.87,0.61,0.99,0.94,0.50
 06-259 ,Zoop1,na,High algae.,na,calanoid,copepodid,Copepoda,1.6,10,50.27,130,8.0,0.32,77,24.893,3.371,83.922,0.66,1.34,0.74,0.57,0.57,0.65,0.79,0.99,1.19,0.69
 06-259 ,Zoop1,na,High algae.,na,Epischura,nordenskioldi,Copepoda,1.6,10,50.27,130,8.0,0.32,1,0.323,16.177,5.230,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 06-259 ,Zoop1,na,High algae.,na,Leptodiaptomus,minutus,Copepoda,1.6,10,50.27,130,8.0,0.32,63,20.367,2.480,50.508,0.91,0.99,0.96,0.91,1.04,0.99,0.91,0.93,0.89,0.93
 06-259 ,Zoop1,na,High algae.,na,Hydracarina,,Utermöhl Chamber,1.6,10,50.27,130,8.0,0.32,1,0.323,,,,,,,,,,,,
 09-383 ,Zoop1+Zoop2,na,na,na,Bosmina,longirostris,Cladocera,2,10,47.12,230,0.76,6.42,20,96.330,0.873,84.126,0.38,0.40,0.29,0.32,0.29,0.37,0.35,0.30,0.29,0.23
 09-383 ,Zoop1+Zoop2,na,na,na,Ceriodaphnia,spp.,Cladocera,2,10,47.12,230,0.76,6.42,4,19.266,1.045,20.130,0.37,0.42,0.45,0.42,0.00,0.00,0.00,0.00,0.00,0.00
 09-383 ,Zoop1+Zoop2,na,na,na,Chydorus ,sphaericus,Cladocera,2,10,47.12,230,0.76,6.42,81,390.138,0.549,214.028,0.23,0.22,0.25,0.20,0.30,0.19,0.21,0.30,0.27,0.20
 09-383 ,Zoop1+Zoop2,na,na,na,Daphnia,pulicaria,Cladocera,2,10,47.12,230,0.76,6.42,84,404.588,24.163,9776.206,1.19,1.07,0.91,0.81,1.31,1.58,1.37,1.31,1.61,1.50
 09-383 ,Zoop1+Zoop2,na,na,na,Daphnia,spp.,Cladocera,2,10,47.12,230,0.76,6.42,20,96.330,5.187,499.710,0.69,0.74,0.69,0.71,0.60,0.74,0.59,0.84,0.77,0.82
 09-383 ,Zoop1+Zoop2,na,na,na,Daphnia,similis,Cladocera,2,10,47.12,230,0.76,6.42,11,52.982,3.390,179.609,0.99,1.09,1.30,1.24,0.92,1.09,1.07,0.89,0.99,1.02
